query_time,domain,question_type,static_or_dynamic,query,answer,split,alternative_answers
2024-02-28 07:37:47,finance,aggregation,slow-changing,what was the total trading volume of metlife during the first week of february?,27965800,0,[]
2024-03-13 08:50:00,finance,aggregation,slow-changing,how many companies have a market capitalization of over $10 billion and have seen a growth rate of over 20% in their stock price in the past year?,"there are many companies that have a market capitalization of over $10 billion and have seen a growth rate of over 20% in their stock price in the past year, such as monster beverage corp, tractor supply co. and old dominion freight lines inc.",1,[]
2024-03-05 23:13:34,finance,aggregation,fast-changing,what is the total market capitalization of all companies listed on the s&p 500?,$43.015 trillion,0,[]
2024-02-28 07:24:45,finance,aggregation,static,what was the dividend distribution frequency for utah medical products in the year 2023?,4,0,[]
2024-03-13 08:52:17,finance,aggregation,slow-changing,how many companies have a market capitalization of over $15 billion and have a high ratio of digital transformation spending to revenue?,"there are many companies that have a market capitalization of over $15 billion and have a high ratio of digital transformation spending to revenue, such as comcast, netflix and nike.",0,[]
2024-02-28 07:21:06,finance,comparison,fast-changing,"which company's stock has had the lowest trading activity this week, kind or  casi?",casi,0,[]
2024-02-28 08:34:30,finance,comparison,real-time,"could you tell me which company has a higher market cap, expo or nxst?",nxst,0,[]
2024-02-28 07:47:23,finance,comparison,slow-changing,what is the weekly low of gyrodyne llc stock,$8.06,0,[]
2024-03-10 23:03:16,finance,comparison,static,"which export product was traded more in 2015, cars or phone system devices?",cars,0,[]
2024-02-28 08:35:44,finance,comparison,real-time,"which company have larger market cap, cmt or adea?",adea,0,[]
2024-03-10 23:07:39,finance,false_premise,static,what acquisitions did tesla make in 2021?,tesla did not make any acquisitions in 2021.,1,[]
2024-02-28 07:29:08,finance,false_premise,fast-changing,"which etf had a higher number of shares traded on the day before yesterday, clsk or bksy?",clsk,0,[]
2024-03-13 09:03:57,finance,false_premise,static,"which five companies have successfully implemented a policy of paying all employees a minimum salary of $200,000 without experiencing any increase in costs or decrease in profitability?","there are no companies that have successfully implemented a policy of paying all employees a minimum salary of $200,000 without experiencing any increase in costs or decrease in profitability.",1,[]
2024-03-17 16:52:44,finance,false_premise,static,"what is the volume of bitcoin when it opened at over 55,000 on feb 14 2024","bitcoin price did not open over 55,000 in feb 14 2024. instead it opened at 49,733.45",1,[]
2024-03-10 23:07:53,finance,false_premise,slow-changing,when did amazon reach $4 trillion market cap?,amazon has not reached a $4 trillion market cap.,1,[]
2024-03-13 09:05:28,finance,multi-hop,fast-changing,which company in the djia has the highest return on equity (roe)?,"the company with the highest roe in the djia is home depot, with an roe of 1,162%.",0,[]
2024-03-13 09:06:01,finance,multi-hop,real-time,which company in the russell 2000 index has the highest dividend yield?,"the company with the highest dividend yield in the russell 2000 index is b. riley financial, with a dividend yield of 23.65%.",0,[]
2024-02-28 07:31:56,finance,multi-hop,fast-changing,what was the volume of trading in cabot corporation's stock on the most recent day that dividends were distributed?,"$268,500.00",1,[]
2024-03-13 09:04:48,finance,multi-hop,fast-changing,which company in the nasdaq 100 index has the highest return on equity (roe)?,"the company with the highest roe in the nasdaq 100 index is booking holdings, with an roe of 22,573%.",1,[]
2024-03-10 23:10:31,finance,multi-hop,slow-changing,when was meta's most recent vr headset released?,"meta's most recent vr headset, the meta quest 3, was released on october 10, 2023. ",1,[]
2024-03-17 16:53:51,finance,post-processing,static,how old is apple since their ipo when they released their first phone product,apple is 27 years old as a company since their ipo date when they release their first phone product ,0,[]
2024-03-10 23:09:16,finance,post-processing,static,how long after reaching $1 trillion market capitalization did it take apple to hit $2 trillion?,~2 years,1,[]
2024-03-10 23:09:36,finance,post-processing,static,"how much do i pay in interest this month on a $2,000 credit card balance that has a simple annual interest rate is 14.99% per annum?",$24.98,1,[]
2024-03-10 23:09:05,finance,post-processing,static,what's the profit percentage on a stock i bought for $322 and sold for $698?,116.77%,0,[]
2024-03-05 23:17:20,finance,post-processing,static,"what is the long-term capital gains tax rate in 2024 for a single filer with a taxable income of $200,000?",15%,0,[]
2024-03-10 23:05:53,finance,set,slow-changing,"what are first ten companies in the dow jones, sorted alphabetically?","ten companies in the dow jones are: 3m, american express, amgen, apple, boeing, caterpillar, chenvron, cisco, coca-cola, and disney.",1,[]
2024-03-13 08:58:13,finance,set,slow-changing,"what are some companies that are in the top 100 of highest level of environmental, social, and governance (esg) performance?","some companies in the top 100 of highest level of esg performance are adobe, nvidia and hasbro, with strong track records in renewable energy, diversity and inclusion, and ethical business practices.",0,[]
2024-03-13 08:55:51,finance,set,fast-changing,which us companies have the highest total number of employees?,"the us companies with the  total number of employees are amazon, accenture, fedex, and united parcel service, each with over 500,000 employees.",0,[]
2024-03-13 08:59:19,finance,set,slow-changing,which companies have the highest level of financial transparency and disclosure?,"the companies with the highest level of financial transparency and disclosure are buffer, kickstarter and warby parker, with comprehensive financial reporting, regular updates on financial performance, and a strong commitment to transparency and accountability.",0,[]
2024-03-13 08:59:10,finance,set,slow-changing,which companies have the highest level of diversity and inclusion in their leadership teams?,"the companies with the highest level of diversity and inclusion in their leadership teams are johnson&johnson, mastercard and accenture, with diverse leadership teams and a strong commitment to fostering a culture of inclusion and respect.",0,[]
2024-03-12 12:22:31,finance,simple,static,what is a net inflow?,"net inflow occurs when more cash flows into, say, the mutual fund than out of it. a net inflow creates excess cash for managers to invest.",0,[]
2024-02-28 07:49:25,finance,simple,real-time,can you provide me with the most recent stock price of foghorn therapeutics?,$7.40,0,[]
2024-02-28 07:41:44,finance,simple,fast-changing,what was the minimum stock price of farmer brothers company that was observed during the last trading day?,$3.45,0,[]
2024-02-28 08:02:51,finance,simple,real-time,what was rmco's open price this past friday?,$1.24,1,[]
2024-02-28 07:44:35,finance,simple,slow-changing,what's the current stock price-to-earnings ratio of motus gi holdings?,-0.06,1,[]
2024-02-28 07:15:23,finance,simple_w_condition,fast-changing,what was the stock price of four leaf acquisition corporation at the close of the last month?,$10.60,0,[]
2024-03-13 08:48:58,finance,simple_w_condition,static,"what was the total value of all share volume traded on the nasdaq exchange on february 23, 2024?","the total value of all share volume traded on the nasdaq exchange was around $304 billion on february 23, 2024.",0,[]
2024-03-13 08:48:35,finance,simple_w_condition,static,what was the total value of all exchange-traded funds (etfs) in the united states in 2020?,the total value of all etfs in the united states was $5.449 trillion in 2020.,1,[]
